""	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Probes"	"Symbol"	"Ensembl_id"	"Biotype1"	"Biotype2"	"Synonyms"	"Platform"
"203616_at"	1.04e-20	4.77e-24	-11.1	43.863684	-0.539	"203616_at"	"POLB"	"ENST00000521418|ENSG00000070501"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"POLB-210|POLB"	"GPL570"
"202623_at"	1.4e-20	6.66e-24	-11.1	43.537234	-0.412	"202623_at"	"EAPP"	"ENSG00000129518"	"gene"	"protein_coding"	"EAPP"	"GPL570"
"214005_at"	1.47e-20	7.29e-24	-11.1	43.449889	-0.56	"214005_at"	"GGCX"	"ENST00000481541|ENST00000496962|ENSG00000115486|ENST00000465637"	"lnc_RNA|lnc_RNA|gene|lnc_RNA"	"processed_transcript|processed_transcript|protein_coding|processed_transcript"	"GGCX-208|GGCX-210|GGCX|GGCX-206"	"GPL570"
"226896_at"	1.69e-20	8.64e-24	-11.1	43.282859	-0.516	"226896_at"	"CHCHD1"	"ENSG00000172586"	"gene"	"protein_coding"	"CHCHD1"	"GPL570"
"224587_at"	3.86e-20	2.26e-23	-10.9	42.341653	-1.2	"224587_at"	"SUB1"	"ENSG00000113387"	"gene"	"protein_coding"	"SUB1"	"GPL570"
"221474_at"	5.63e-20	3.4e-23	-10.9	41.943309	-0.36	"221474_at"	"MYL12B"	"ENSG00000118680"	"gene"	"protein_coding"	"MYL12B"	"GPL570"
"208710_s_at"	5.92e-20	3.8e-23	10.9	41.835901	0.368	"208710_s_at"	"AP3D1"	"ENSG00000065000"	"gene"	"protein_coding"	"AP3D1"	"GPL570"
"217883_at"	6.14e-20	4.16e-23	-10.9	41.747078	-0.318	"217883_at"	"MMADHC"	"ENSG00000168288"	"gene"	"protein_coding"	"MMADHC"	"GPL570"
"210092_at"	7.57e-20	5.34e-23	-10.8	41.501557	-0.593	"210092_at"	"MAGOH"	"ENST00000462941|ENSG00000162385"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"MAGOH-203|MAGOH"	"GPL570"
"213911_s_at"	7.57e-20	5.41e-23	-10.8	41.489936	-0.376	"213911_s_at"	"H2AZ1"	"ENSG00000164032|ENST00000511348|ENST00000511203|ENST00000511319"	"gene|lnc_RNA|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron|retained_intron"	"H2AZ1|H2AZ1-204|H2AZ1-202|H2AZ1-203"	"GPL570"
"201597_at"	9.65e-20	7.07e-23	-10.8	41.2277	-0.75	"201597_at"	"COX7A2"	"ENSG00000112695"	"gene"	"protein_coding"	"COX7A2"	"GPL570"
"214737_x_at"	1.01e-19	7.56e-23	-10.8	41.162438	-0.265	"214737_x_at"	"HNRNPC"	"ENSG00000092199"	"gene"	"protein_coding"	"HNRNPC"	"GPL570"
"219129_s_at"	1.22e-19	9.39e-23	-10.7	40.950046	-0.459	"219129_s_at"	"SAP30L"	"ENST00000523029|ENST00000520731|ENST00000517926|ENSG00000164576"	"lnc_RNA|lnc_RNA|lnc_RNA|gene"	"retained_intron|processed_transcript|retained_intron|protein_coding"	"SAP30L-208|SAP30L-207|SAP30L-204|SAP30L"	"GPL570"
"201568_at"	1.38e-19	1.08e-22	-10.7	40.80938	-1.05	"201568_at"	"UQCRQ"	"ENSG00000164405|ENST00000498309|ENST00000496429"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|processed_transcript"	"UQCRQ|UQCRQ-206|UQCRQ-205"	"GPL570"
"219161_s_at"	1.46e-19	1.18e-22	-10.7	40.728279	-0.741	"219161_s_at"	"CKLF"	"ENSG00000217555|ENST00000526149|ENST00000563092|ENSG00000254788"	"gene|lnc_RNA|lnc_RNA|gene"	"protein_coding|retained_intron|processed_transcript|protein_coding"	"CKLF|CKLF-206|CKLF-208|CKLF-CMTM1"	"GPL570"
"225702_at"	1.47e-19	1.21e-22	-10.7	40.698544	-0.403	"225702_at"	"C8orf76"	"ENSG00000189376"	"gene"	"protein_coding"	"C8orf76"	"GPL570"
"221734_at"	1.49e-19	1.26e-22	10.7	40.664468	0.325	"221734_at"	"PRRC1"	"ENST00000513427|ENSG00000164244"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"PRRC1-206|PRRC1"	"GPL570"
"221482_s_at"	1.98e-19	1.71e-22	-10.7	40.36407	-0.625	"221482_s_at"	"ARPP19"	"ENSG00000128989"	"gene"	"protein_coding"	"ARPP19"	"GPL570"
"217971_at"	2.06e-19	1.85e-22	-10.7	40.287855	-0.854	"217971_at"	"LAMTOR3"	"ENSG00000109270"	"gene"	"protein_coding"	"LAMTOR3"	"GPL570"
"204565_at"	2.25e-19	2.08e-22	-10.6	40.17262	-0.449	"204565_at"	"ACOT13"	"ENSG00000112304|ENST00000476436"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"ACOT13|ACOT13-202"	"GPL570"
"218643_s_at"	2.67e-19	2.54e-22	-10.6	39.976932	-0.683	"218643_s_at"	"CRIPT"	"ENST00000486447|ENSG00000119878"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"CRIPT-202|CRIPT"	"GPL570"
"217811_at"	3.41e-19	3.5e-22	-10.6	39.663727	-0.562	"217811_at"	"SELENOT"	"ENST00000466234|ENSG00000198843"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"SELENOT-201|SELENOT"	"GPL570"
"205214_at"	3.97e-19	4.21e-22	-10.6	39.482537	-0.658	"205214_at"	"STK17B"	"ENSG00000081320"	"gene"	"protein_coding"	"STK17B"	"GPL570"
"244050_at"	4.94e-19	5.43e-22	-10.5	39.234932	-0.555	"244050_at"	"HACD4"	"ENSG00000188921"	"gene"	"protein_coding"	"HACD4"	"GPL570"
"209276_s_at"	5.44e-19	6.07e-22	-10.5	39.124984	-1.01	"209276_s_at"	"GLRX"	"ENST00000507412|ENSG00000173221|ENST00000507605"	"lnc_RNA|gene|lnc_RNA"	"retained_intron|protein_coding|processed_transcript"	"GLRX-204|GLRX|GLRX-205"	"GPL570"
"201164_s_at"	5.5e-19	6.24e-22	10.5	39.098632	0.343	"201164_s_at"	"PUM1"	"ENSG00000134644"	"gene"	"protein_coding"	"PUM1"	"GPL570"
"212098_at"	5.51e-19	6.35e-22	10.5	39.081504	0.358	"212098_at"	"MGAT5"	"ENSG00000152127"	"gene"	"protein_coding"	"MGAT5"	"GPL570"
"203351_s_at"	5.68e-19	6.65e-22	-10.5	39.035897	-0.578	"203351_s_at"	"ORC4"	"ENSG00000115947"	"gene"	"protein_coding"	"ORC4"	"GPL570"
"205173_x_at"	6.16e-19	7.33e-22	-10.5	38.94081	-0.733	"205173_x_at"	"CD58"	"ENSG00000116815"	"gene"	"protein_coding"	"CD58"	"GPL570"
"201573_s_at"	9.49e-19	1.2e-21	-10.4	38.461974	-0.35	"201573_s_at"	"ETF1"	"ENSG00000120705"	"gene"	"protein_coding"	"ETF1"	"GPL570"
"200620_at"	9.49e-19	1.2e-21	-10.4	38.461738	-0.326	"200620_at"	"TMEM59"	"ENSG00000116209|ENST00000470395"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"TMEM59|TMEM59-209"	"GPL570"
"201858_s_at"	9.49e-19	1.23e-21	-10.4	38.432365	-0.465	"201858_s_at"	"SRGN"	"ENSG00000122862|ENST00000462445"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"SRGN|SRGN-202"	"GPL570"
"215044_s_at"	1.12e-18	1.48e-21	-10.4	38.25377	-0.539	"215044_s_at"	"STAM2"	"ENST00000489389|ENSG00000115145"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"STAM2-205|STAM2"	"GPL570"
"212520_s_at"	1.3e-18	1.74e-21	10.4	38.098156	0.432	"212520_s_at"	"SMARCA4"	"ENSG00000127616|ENST00000644267"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"SMARCA4|SMARCA4-232"	"GPL570"
"223065_s_at"	1.85e-18	2.54e-21	-10.3	37.727303	-0.59	"223065_s_at"	"STARD3NL"	"ENSG00000010270|ENST00000471550"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"STARD3NL|STARD3NL-207"	"GPL570"
"217773_s_at"	1.91e-18	2.69e-21	-10.3	37.670208	-1.15	"217773_s_at"	"NDUFA4"	"ENSG00000189043|ENST00000482299"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"NDUFA4|NDUFA4-204"	"GPL570"
"225309_at"	2.23e-18	3.19e-21	-10.3	37.504384	-0.589	"225309_at"	"PHF5A"	"ENSG00000100410"	"gene"	"protein_coding"	"PHF5A"	"GPL570"
"225844_at"	2.43e-18	3.55e-21	-10.3	37.398299	-0.564	"225844_at"	"POLE4"	"ENSG00000115350|ENST00000233699|ENST00000465242"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"POLE4|POLE4-201|POLE4-203"	"GPL570"
"213379_at"	2.57e-18	3.85e-21	-10.3	37.318917	-0.634	"213379_at"	"COQ2"	"ENSG00000173085"	"gene"	"protein_coding"	"COQ2"	"GPL570"
"208695_s_at"	2.61e-18	3.96e-21	-10.3	37.291895	-0.911	"208695_s_at"	"RPL39"	"ENSG00000198918|ENST00000477403|ENST00000468844"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"RPL39|RPL39-203|RPL39-202"	"GPL570"
"202279_at"	2.79e-18	4.35e-21	-10.2	37.201034	-0.835	"202279_at"	"ATP5MPL"	"ENSG00000156411"	"gene"	"protein_coding"	"ATP5MPL"	"GPL570"
"208872_s_at"	5.49e-18	8.94e-21	-10.1	36.49671	-0.385	"208872_s_at"	"REEP5"	"ENSG00000129625|ENST00000497856"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"REEP5|REEP5-204"	"GPL570"
"36888_at"	6.42e-18	1.06e-20	10.1	36.331831	0.235	"36888_at"	"HAUS5"	"ENSG00000249115|ENST00000428854"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"HAUS5|HAUS5-203"	"GPL570"
"212620_at"	6.92e-18	1.15e-20	10.1	36.248127	0.362	"212620_at"	"ZNF609"	"ENSG00000180357"	"gene"	"protein_coding"	"ZNF609"	"GPL570"
"204605_at"	7.91e-18	1.33e-20	-10.1	36.106075	-0.738	"204605_at"	"CGRRF1"	"ENST00000557429|ENSG00000100532|ENST00000556216"	"lnc_RNA|gene|lnc_RNA"	"retained_intron|protein_coding|retained_intron"	"CGRRF1-207|CGRRF1|CGRRF1-204"	"GPL570"
"218438_s_at"	9e-18	1.53e-20	-10.1	35.969557	-0.367	"218438_s_at"	"MED28"	"ENSG00000118579"	"gene"	"protein_coding"	"MED28"	"GPL570"
"203897_at"	9.93e-18	1.71e-20	-10.1	35.863641	-0.392	"203897_at"	"LYRM1"	"ENSG00000102897"	"gene"	"protein_coding"	"LYRM1"	"GPL570"
"218163_at"	1.61e-17	2.87e-20	-9.99	35.357942	-0.621	"218163_at"	"MCTS1"	"ENST00000487133|ENST00000484481|ENSG00000232119"	"lnc_RNA|lnc_RNA|gene"	"processed_transcript|processed_transcript|protein_coding"	"MCTS1-204|MCTS1-203|MCTS1"	"GPL570"
"208625_s_at"	1.99e-17	3.6e-20	9.96	35.135197	0.314	"208625_s_at"	"EIF4G1"	"ENST00000460829|ENST00000475721|ENSG00000114867"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|protein_coding"	"EIF4G1-230|EIF4G1-233|EIF4G1"	"GPL570"
"1552773_at"	2.02e-17	3.71e-20	-9.95	35.106771	-1.21	"1552773_at"	"CLEC4D"	"ENSG00000166527"	"gene"	"protein_coding"	"CLEC4D"	"GPL570"
"226294_x_at"	2.22e-17	4.23e-20	-9.94	34.976961	-0.574	"226294_x_at"	"FAM91A1"	"ENSG00000176853"	"gene"	"protein_coding"	"FAM91A1"	"GPL570"
"224602_at"	2.67e-17	5.13e-20	-9.91	34.789906	-0.393	"224602_at"	"C4orf3"	"ENSG00000164096"	"gene"	"protein_coding"	"C4orf3"	"GPL570"
"226054_at"	2.67e-17	5.18e-20	9.91	34.780165	0.469	"226054_at"	"BRD4"	"ENSG00000141867"	"gene"	"protein_coding"	"BRD4"	"GPL570"
"204971_at"	2.77e-17	5.51e-20	-9.9	34.7203	-1.22	"204971_at"	"CSTA"	"ENSG00000121552"	"gene"	"protein_coding"	"CSTA"	"GPL570"
"225148_at"	2.77e-17	5.52e-20	-9.9	34.717962	-0.27	"225148_at"	"RPS19BP1"	"ENSG00000187051|ENST00000488602"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"RPS19BP1|RPS19BP1-205"	"GPL570"
"206584_at"	2.89e-17	5.81e-20	-9.89	34.666925	-1.29	"206584_at"	"LY96"	"ENSG00000154589"	"gene"	"protein_coding"	"LY96"	"GPL570"
"230098_at"	3.29e-17	6.68e-20	-9.88	34.531448	-0.628	"230098_at"	"PHF20L1"	"ENSG00000129292"	"gene"	"protein_coding"	"PHF20L1"	"GPL570"
"202427_s_at"	3.52e-17	7.21e-20	-9.86	34.456814	-0.292	"202427_s_at"	"MPC2"	"ENSG00000143158"	"gene"	"protein_coding"	"MPC2"	"GPL570"
"222101_s_at"	4.23e-17	8.77e-20	9.84	34.264981	0.561	"222101_s_at"	"DCHS1"	"ENSG00000166341"	"gene"	"protein_coding"	"DCHS1"	"GPL570"
"203732_at"	4.23e-17	8.83e-20	-9.84	34.259114	-0.327	"203732_at"	"TRIP4"	"ENSG00000103671|ENST00000559777"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"TRIP4|TRIP4-207"	"GPL570"
"203371_s_at"	4.98e-17	1.05e-19	-9.81	34.091298	-0.977	"203371_s_at"	"NDUFB3"	"ENSG00000119013"	"gene"	"protein_coding"	"NDUFB3"	"GPL570"
"212456_at"	5.08e-17	1.1e-19	9.81	34.045792	0.276	"212456_at"	"CLUH"	"ENSG00000132361"	"gene"	"protein_coding"	"CLUH"	"GPL570"
"1553928_at"	5.09e-17	1.11e-19	-9.81	34.035165	-0.833	"1553928_at"	"ELMOD2"	"ENSG00000179387"	"gene"	"protein_coding"	"ELMOD2"	"GPL570"
"224779_s_at"	5.24e-17	1.15e-19	-9.8	33.999834	-0.619	"224779_s_at"	"CIAO2A"	"ENST00000558779|ENSG00000166797"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"CIAO2A-204|CIAO2A"	"GPL570"
"208716_s_at"	5.64e-17	1.25e-19	-9.79	33.919451	-0.892	"208716_s_at"	"TMCO1"	"ENSG00000143183"	"gene"	"protein_coding"	"TMCO1"	"GPL570"
"203090_at"	6.18e-17	1.38e-19	-9.78	33.822508	-0.281	"203090_at"	"SDF2"	"ENSG00000132581|ENST00000585749|ENST00000592250"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"SDF2|SDF2-203|SDF2-210"	"GPL570"
"226143_at"	6.39e-17	1.44e-19	9.77	33.780783	0.399	"226143_at"	"RAI1"	"ENSG00000108557"	"gene"	"protein_coding"	"RAI1"	"GPL570"
"223684_s_at"	7.76e-17	1.78e-19	-9.74	33.575096	-0.297	"223684_s_at"	"SMUG1"	"ENST00000511854|ENST00000505662|ENSG00000123415|ENST00000635234"	"lnc_RNA|lnc_RNA|gene|lnc_RNA"	"retained_intron|processed_transcript|protein_coding|processed_transcript"	"SMUG1-219|SMUG1-211|SMUG1|SMUG1-224"	"GPL570"
"232087_at"	7.76e-17	1.8e-19	-9.74	33.560381	-0.654	"232087_at"	"BCLAF3"	"ENSG00000173681"	"gene"	"protein_coding"	"BCLAF3"	"GPL570"
"223416_at"	8.06e-17	1.89e-19	-9.73	33.515483	-0.732	"223416_at"	"SF3B6"	"ENSG00000115128"	"gene"	"protein_coding"	"SF3B6"	"GPL570"
"213341_at"	8.64e-17	2.06e-19	-9.72	33.433053	-0.456	"213341_at"	"FEM1C"	"ENSG00000145780"	"gene"	"protein_coding"	"FEM1C"	"GPL570"
"213366_x_at"	1.06e-16	2.53e-19	-9.69	33.228976	-0.816	"213366_x_at"	"ATP5F1C"	"ENST00000473809|ENST00000480528|ENSG00000165629|ENST00000493053|ENST00000465936"	"lnc_RNA|lnc_RNA|gene|lnc_RNA|lnc_RNA"	"processed_transcript|processed_transcript|protein_coding|processed_transcript|processed_transcript"	"ATP5F1C-208|ATP5F1C-209|ATP5F1C|ATP5F1C-210|ATP5F1C-206"	"GPL570"
"207760_s_at"	1.06e-16	2.56e-19	9.69	33.220557	0.39	"207760_s_at"	"NCOR2"	"ENSG00000196498"	"gene"	"protein_coding"	"NCOR2"	"GPL570"
"202918_s_at"	1.11e-16	2.7e-19	-9.68	33.165497	-1.04	"202918_s_at"	"MOB4"	"ENSG00000115540"	"gene"	"protein_coding"	"MOB4"	"GPL570"
"202763_at"	1.14e-16	2.81e-19	-9.68	33.127967	-0.718	"202763_at"	"CASP3"	"ENSG00000164305"	"gene"	"protein_coding"	"CASP3"	"GPL570"
"201238_s_at"	1.2e-16	3.01e-19	-9.67	33.060172	-0.777	"201238_s_at"	"CAPZA2"	"ENSG00000198898"	"gene"	"protein_coding"	"CAPZA2"	"GPL570"
"208864_s_at"	1.32e-16	3.33e-19	-9.66	32.96087	-0.852	"208864_s_at"	"TXN"	"ENST00000487892|ENSG00000136810"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"TXN-203|TXN"	"GPL570"
"212137_at"	1.36e-16	3.46e-19	9.65	32.924225	0.363	"212137_at"	"LARP1"	"ENSG00000155506"	"gene"	"protein_coding"	"LARP1"	"GPL570"
"200781_s_at"	1.57e-16	4.08e-19	-9.63	32.763315	-0.721	"200781_s_at"	"AL606516.1"	"ENSG00000226484|ENST00000455438"	"ncRNA_gene|lnc_RNA"	"lncRNA|lncRNA"	"AL606516.1|AL606516.1-201"	"GPL570"
"208737_at"	1.62e-16	4.23e-19	-9.62	32.727268	-0.537	"208737_at"	"ATP6V1G1"	"ENST00000677543|ENSG00000136888"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"ATP6V1G1-206|ATP6V1G1"	"GPL570"
"78383_at"	1.65e-16	4.36e-19	-9.62	32.698864	-0.455	"78383_at"	"SMIM27"	"ENSG00000235453"	"gene"	"protein_coding"	"SMIM27"	"GPL570"
"213408_s_at"	1.8e-16	4.79e-19	9.61	32.606237	0.354	"213408_s_at"	"PI4KAP1"	"ENST00000610959|ENST00000619742|ENST00000652586|ENST00000617243|ENST00000618794"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA"	"processed_transcript|processed_transcript|processed_transcript|processed_transcript|processed_transcript"	"PI4KAP1-201|PI4KAP1-208|PI4KAP1-209|PI4KAP1-206|PI4KAP1-207"	"GPL570"
"226963_at"	1.8e-16	4.83e-19	-9.61	32.598901	-0.598	"226963_at"	"TANC1"	"ENSG00000115183"	"gene"	"protein_coding"	"TANC1"	"GPL570"
"223491_at"	1.8e-16	4.88e-19	-9.6	32.589607	-0.459	"223491_at"	"COMMD2"	"ENSG00000114744"	"gene"	"protein_coding"	"COMMD2"	"GPL570"
"203534_at"	1.89e-16	5.15e-19	-9.6	32.536009	-0.529	"203534_at"	"LSM1"	"ENSG00000175324|ENST00000522515"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"LSM1|LSM1-204"	"GPL570"
"225541_at"	2.11e-16	5.84e-19	-9.58	32.413876	-1.36	"225541_at"	"RPL22L1"	"ENST00000478578|ENSG00000163584"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"RPL22L1-205|RPL22L1"	"GPL570"
"205664_at"	2.11e-16	5.89e-19	-9.58	32.405795	-0.521	"205664_at"	"KIN"	"ENSG00000151657|ENST00000463666|ENST00000471320"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|retained_intron"	"KIN|KIN-203|KIN-204"	"GPL570"
"210296_s_at"	2.18e-16	6.11e-19	-9.57	32.368743	-0.723	"210296_s_at"	"PEX2"	"ENSG00000164751"	"gene"	"protein_coding"	"PEX2"	"GPL570"
"226853_at"	2.19e-16	6.19e-19	-9.57	32.356829	-0.726	"226853_at"	"BMP2K"	"ENSG00000138756"	"gene"	"protein_coding"	"BMP2K"	"GPL570"
"225908_at"	2.19e-16	6.22e-19	-9.57	32.351281	-0.436	"225908_at"	"IAH1"	"ENST00000490621|ENSG00000134330|ENST00000487850|ENST00000484826"	"lnc_RNA|gene|lnc_RNA|lnc_RNA"	"processed_transcript|protein_coding|processed_transcript|retained_intron"	"IAH1-209|IAH1|IAH1-207|IAH1-206"	"GPL570"
"209362_at"	2.62e-16	7.63e-19	-9.54	32.151823	-0.585	"209362_at"	"MED21"	"ENSG00000152944|ENST00000538186"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"MED21|MED21-204"	"GPL570"
"203880_at"	2.93e-16	8.58e-19	-9.53	32.03788	-0.485	"203880_at"	"AL138686.1"	"ENSG00000277228|ENST00000612699"	"ncRNA_gene|lnc_RNA"	"lncRNA|lncRNA"	"AL138686.1|AL138686.1-201"	"GPL570"
"1557370_s_at"	2.95e-16	8.69e-19	9.52	32.025337	0.36	"1557370_s_at"	"MYCBP2"	"ENST00000482517|ENSG00000005810"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"MYCBP2-206|MYCBP2"	"GPL570"
"212631_at"	2.95e-16	8.76e-19	-9.52	32.01686	-0.59	"212631_at"	"STX7"	"ENSG00000079950"	"gene"	"protein_coding"	"STX7"	"GPL570"
"219015_s_at"	3.19e-16	9.63e-19	-9.51	31.92456	-0.718	"219015_s_at"	"ALG13"	"ENSG00000101901"	"gene"	"protein_coding"	"ALG13"	"GPL570"
"230141_at"	3.47e-16	1.07e-18	-9.5	31.825654	-0.621	"230141_at"	"ARID4A"	"ENSG00000032219"	"gene"	"protein_coding"	"ARID4A"	"GPL570"
"208898_at"	3.52e-16	1.09e-18	-9.49	31.805008	-0.458	"208898_at"	"ATP6V1D"	"ENSG00000100554"	"gene"	"protein_coding"	"ATP6V1D"	"GPL570"
"201470_at"	3.54e-16	1.1e-18	-9.49	31.794222	-0.365	"201470_at"	"GSTO1"	"ENSG00000148834"	"gene"	"protein_coding"	"GSTO1"	"GPL570"
"226744_at"	3.58e-16	1.12e-18	9.49	31.77589	0.349	"226744_at"	"METTL16"	"ENST00000574623|ENSG00000127804|ENST00000571669"	"lnc_RNA|gene|lnc_RNA"	"processed_transcript|protein_coding|processed_transcript"	"METTL16-206|METTL16|METTL16-205"	"GPL570"
"225469_at"	3.66e-16	1.15e-18	-9.49	31.750533	-0.495	"225469_at"	"ETFRF1"	"ENSG00000205707"	"gene"	"protein_coding"	"ETFRF1"	"GPL570"
"219607_s_at"	3.66e-16	1.16e-18	-9.48	31.742705	-1.23	"219607_s_at"	"MS4A4A"	"ENSG00000110079|ENST00000529991"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"MS4A4A|MS4A4A-205"	"GPL570"
"212178_s_at"	3.69e-16	1.17e-18	9.48	31.731217	0.368	"212178_s_at"	"POM121"	"ENSG00000196313"	"gene"	"protein_coding"	"POM121"	"GPL570"
"1316_at"	3.74e-16	1.2e-18	9.48	31.711246	0.456	"1316_at"	"THRA"	"ENSG00000126351"	"gene"	"protein_coding"	"THRA"	"GPL570"
"227063_at"	4.5e-16	1.45e-18	-9.45	31.525647	-0.64	"227063_at"	"TMEM256"	"ENSG00000262481|ENSG00000205544|ENST00000575427"	"gene|gene|lnc_RNA"	"protein_coding|protein_coding|retained_intron"	"TMEM256-PLSCR3|TMEM256|TMEM256-202"	"GPL570"
"1555294_a_at"	4.53e-16	1.48e-18	9.45	31.507709	0.372	"1555294_a_at"	"ERC1"	"ENST00000543151|ENSG00000082805"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"ERC1-214|ERC1"	"GPL570"
"225704_at"	4.67e-16	1.54e-18	9.45	31.466742	0.289	"225704_at"	"FBRSL1"	"ENSG00000112787"	"gene"	"protein_coding"	"FBRSL1"	"GPL570"
"202543_s_at"	4.79e-16	1.59e-18	-9.44	31.436626	-0.931	"202543_s_at"	"GMFB"	"ENSG00000197045"	"gene"	"protein_coding"	"GMFB"	"GPL570"
"231862_at"	4.99e-16	1.67e-18	9.43	31.386073	0.46	"231862_at"	"CBX5"	"ENSG00000094916"	"gene"	"protein_coding"	"CBX5"	"GPL570"
