""	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Probes"	"Symbol"	"Ensembl_id"	"Biotype1"	"Biotype2"	"Synonyms"	"Platform"
"221482_s_at"	0.0004548	7.41e-07	5.61449571	5.756843	0.565	"221482_s_at"	"ARPP19"	"ENSG00000128989"	"gene"	"protein_coding"	"ARPP19"	"GPL570"
"203371_s_at"	0.0004565	7.69e-07	5.60426607	5.722492	0.989	"203371_s_at"	"NDUFB3"	"ENSG00000119013"	"gene"	"protein_coding"	"NDUFB3"	"GPL570"
"201680_x_at"	0.0004582	7.83e-07	-5.59940165	5.706162	-0.392	"201680_x_at"	"SRRT"	"ENST00000477529|ENSG00000087087"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"SRRT-210|SRRT"	"GPL570"
"225195_at"	0.0004582	7.92e-07	5.59603673	5.694868	0.706	"225195_at"	"DPH3"	"ENSG00000154813|ENST00000285082|ENST00000462982"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"DPH3|DPH3-201|DPH3-203"	"GPL570"
"208659_at"	0.0004582	7.97e-07	5.5944137	5.68942	0.384	"208659_at"	"CLIC1"	"ENSG00000213719"	"gene"	"protein_coding"	"CLIC1"	"GPL570"
"226156_at"	0.0004585	8.06e-07	-5.59132198	5.679045	-0.296	"226156_at"	"AKT2"	"ENSG00000105221"	"gene"	"protein_coding"	"AKT2"	"GPL570"
"206662_at"	0.0004608	8.36e-07	5.58111388	5.644796	0.684	"206662_at"	"GLRX"	"ENST00000507412|ENSG00000173221|ENST00000507605"	"lnc_RNA|gene|lnc_RNA"	"retained_intron|protein_coding|processed_transcript"	"GLRX-204|GLRX|GLRX-205"	"GPL570"
"215500_at"	0.0004608	8.39e-07	-5.58010553	5.641413	-0.378	"215500_at"	"SNX29"	"ENSG00000048471"	"gene"	"protein_coding"	"SNX29"	"GPL570"
"223416_at"	0.0004724	8.74e-07	5.56900038	5.604171	0.725	"223416_at"	"SF3B6"	"ENSG00000115128"	"gene"	"protein_coding"	"SF3B6"	"GPL570"
"224604_at"	0.0004813	8.99e-07	5.56111703	5.577744	0.472	"224604_at"	"C4orf3"	"ENSG00000164096"	"gene"	"protein_coding"	"C4orf3"	"GPL570"
"224511_s_at"	0.0005213	1.02e-06	5.52613025	5.460554	0.709	"224511_s_at"	"TXNDC17"	"ENSG00000129235|ENST00000576020|ENST00000574429|ENST00000577146|ENST00000573792|ENST00000571029"	"gene|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|retained_intron|processed_transcript|processed_transcript|processed_transcript"	"TXNDC17|TXNDC17-209|TXNDC17-206|TXNDC17-210|TXNDC17-205|TXNDC17-203"	"GPL570"
"214440_at"	0.0005213	1.03e-06	5.5226103	5.448773	0.856	"214440_at"	"NAT1"	"ENSG00000171428"	"gene"	"protein_coding"	"NAT1"	"GPL570"
"214737_x_at"	0.0005213	1.05e-06	5.51706398	5.430213	0.24	"214737_x_at"	"HNRNPC"	"ENSG00000092199"	"gene"	"protein_coding"	"HNRNPC"	"GPL570"
"1557370_s_at"	0.0005213	1.08e-06	-5.50930066	5.404241	-0.38	"1557370_s_at"	"MYCBP2"	"ENST00000482517|ENSG00000005810"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"MYCBP2-206|MYCBP2"	"GPL570"
"200096_s_at"	0.0005213	1.09e-06	5.50847057	5.401464	0.293	"200096_s_at"	"ATP6V0E1"	"ENSG00000113732"	"gene"	"protein_coding"	"ATP6V0E1"	"GPL570"
"38069_at"	0.0005213	1.1e-06	-5.50642131	5.39461	-0.275	"38069_at"	"CLCN7"	"ENST00000563642|ENST00000565092|ENSG00000103249"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|protein_coding"	"CLCN7-205|CLCN7-209|CLCN7"	"GPL570"
"223174_at"	0.0005213	1.1e-06	5.50543476	5.391311	0.552	"223174_at"	"BTBD10"	"ENSG00000148925"	"gene"	"protein_coding"	"BTBD10"	"GPL570"
"212082_s_at"	0.0005213	1.12e-06	5.49945276	5.371307	0.52	"212082_s_at"	"MYL6"	"ENSG00000092841|ENST00000550184"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"MYL6|MYL6-216"	"GPL570"
"40225_at"	0.0005213	1.13e-06	-5.49690665	5.362795	-0.292	"40225_at"	"GAK"	"ENST00000502799|ENST00000511345|ENST00000515868|ENST00000509566|ENSG00000178950"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|retained_intron|processed_transcript|protein_coding"	"GAK-203|GAK-216|GAK-221|GAK-211|GAK"	"GPL570"
"204170_s_at"	0.0005213	1.14e-06	5.4963255	5.360852	0.958	"204170_s_at"	"CKS2"	"ENSG00000123975"	"gene"	"protein_coding"	"CKS2"	"GPL570"
"209363_s_at"	0.0005213	1.16e-06	5.48958912	5.338334	0.528	"209363_s_at"	"MED21"	"ENST00000536503|ENSG00000152944|ENST00000538186"	"lnc_RNA|gene|lnc_RNA"	"processed_transcript|protein_coding|processed_transcript"	"MED21-202|MED21|MED21-204"	"GPL570"
"244008_at"	0.0005213	1.17e-06	5.48747885	5.331281	0.813	"244008_at"	"PARP8"	"ENSG00000151883"	"gene"	"protein_coding"	"PARP8"	"GPL570"
"217612_at"	0.0005213	1.17e-06	-5.4885906	5.334997	-0.428	"217612_at"	"TIMM50"	"ENST00000595527|ENST00000600878|ENSG00000105197"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|processed_transcript|protein_coding"	"TIMM50-204|TIMM50-213|TIMM50"	"GPL570"
"230098_at"	0.0005213	1.19e-06	5.48374877	5.318817	0.686	"230098_at"	"PHF20L1"	"ENSG00000129292"	"gene"	"protein_coding"	"PHF20L1"	"GPL570"
"211928_at"	0.0005213	1.2e-06	-5.48018814	5.30692	-0.372	"211928_at"	"DYNC1H1"	"ENST00000644239|ENST00000643591|ENST00000556229|ENST00000647143|ENST00000643729|ENST00000555062|ENST00000680178|ENST00000645978|ENST00000643829|ENST00000647204|ENST00000645085|ENSG00000197102"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|protein_coding"	"DYNC1H1-222|DYNC1H1-214|DYNC1H1-206|DYNC1H1-234|DYNC1H1-217|DYNC1H1-203|DYNC1H1-245|DYNC1H1-231|DYNC1H1-219|DYNC1H1-235|DYNC1H1-227|DYNC1H1"	"GPL570"
"208857_s_at"	0.0005213	1.21e-06	5.47936757	5.304179	0.577	"208857_s_at"	"PCMT1"	"ENSG00000120265"	"gene"	"protein_coding"	"PCMT1"	"GPL570"
"208374_s_at"	0.0005213	1.24e-06	5.47210705	5.279927	0.508	"208374_s_at"	"CAPZA1"	"ENSG00000116489"	"gene"	"protein_coding"	"CAPZA1"	"GPL570"
"219607_s_at"	0.0005213	1.25e-06	5.46964396	5.271701	1.31	"219607_s_at"	"MS4A4A"	"ENSG00000110079|ENST00000529991"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"MS4A4A|MS4A4A-205"	"GPL570"
"203292_s_at"	0.0005213	1.25e-06	-5.47068289	5.275171	-0.281	"203292_s_at"	"VPS11"	"ENST00000524454|ENSG00000160695|ENST00000622309"	"lnc_RNA|gene|lnc_RNA"	"processed_transcript|protein_coding|retained_intron"	"VPS11-201|VPS11|VPS11-209"	"GPL570"
"222555_s_at"	0.0005489	1.34e-06	5.45110132	5.209805	0.362	"222555_s_at"	"MRPL44"	"ENSG00000135900"	"gene"	"protein_coding"	"MRPL44"	"GPL570"
"219439_at"	0.0005514	1.35e-06	5.44775236	5.198631	0.808	"219439_at"	"C1GALT1"	"ENSG00000106392"	"gene"	"protein_coding"	"C1GALT1"	"GPL570"
"221492_s_at"	0.0005568	1.4e-06	5.43737447	5.164016	0.483	"221492_s_at"	"ATG3"	"ENST00000494571|ENSG00000144848"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"ATG3-207|ATG3"	"GPL570"
"222230_s_at"	0.0005584	1.42e-06	5.43404097	5.1529	0.417	"222230_s_at"	"ACTR10"	"ENSG00000131966|ENST00000557711"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"ACTR10|ACTR10-216"	"GPL570"
"219676_at"	0.0005703	1.48e-06	5.42323449	5.116877	0.436	"219676_at"	"ZSCAN16"	"ENSG00000196812"	"gene"	"protein_coding"	"ZSCAN16"	"GPL570"
"205664_at"	0.0005703	1.49e-06	5.42050214	5.107772	0.565	"205664_at"	"KIN"	"ENSG00000151657|ENST00000463666|ENST00000471320"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|retained_intron"	"KIN|KIN-203|KIN-204"	"GPL570"
"204538_x_at"	0.0005703	1.5e-06	-5.41830375	5.100447	-0.421	"204538_x_at"	"NPIPA7"	"ENSG00000214967"	"gene"	"protein_coding"	"NPIPA7"	"GPL570"
"218381_s_at"	0.0005703	1.52e-06	-5.4151412	5.08991	-0.371	"218381_s_at"	"U2AF2"	"ENSG00000063244"	"gene"	"protein_coding"	"U2AF2"	"GPL570"
"215285_s_at"	0.0005703	1.52e-06	5.41450852	5.087802	0.523	"215285_s_at"	"PHTF1"	"ENSG00000116793|ENST00000474926|ENST00000481652"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"PHTF1|PHTF1-209|PHTF1-210"	"GPL570"
"223542_at"	0.0005703	1.52e-06	5.41592463	5.09252	0.608	"223542_at"	"SLF1"	"ENST00000450932|ENST00000493934|ENSG00000133302"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|processed_transcript|protein_coding"	"SLF1-202|SLF1-205|SLF1"	"GPL570"
"203732_at"	0.0005798	1.56e-06	5.40801147	5.066162	0.299	"203732_at"	"TRIP4"	"ENSG00000103671|ENST00000559777"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"TRIP4|TRIP4-207"	"GPL570"
"244265_at"	0.0006064	1.65e-06	-5.39177294	5.012101	-0.459	"244265_at"	"RERE"	"ENST00000480342|ENSG00000142599"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"RERE-213|RERE"	"GPL570"
"235556_at"	0.0006136	1.69e-06	5.38660316	4.994899	0.516	"235556_at"	"CREBRF"	"ENSG00000164463"	"gene"	"protein_coding"	"CREBRF"	"GPL570"
"206453_s_at"	0.0006227	1.72e-06	-5.38064621	4.975082	-0.314	"206453_s_at"	"NDRG2"	"ENST00000556716|ENST00000555650|ENSG00000165795"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|protein_coding"	"NDRG2-258|NDRG2-244|NDRG2"	"GPL570"
"1553928_at"	0.0006335	1.79e-06	5.37035741	4.940867	0.858	"1553928_at"	"ELMOD2"	"ENSG00000179387"	"gene"	"protein_coding"	"ELMOD2"	"GPL570"
"219192_at"	0.0006464	1.84e-06	-5.3618842	4.912703	-0.392	"219192_at"	"UBAP2"	"ENSG00000137073"	"gene"	"protein_coding"	"UBAP2"	"GPL570"
"1559910_at"	0.0006464	1.85e-06	-5.36113008	4.910197	-0.787	"1559910_at"	"PID1"	"ENSG00000153823"	"gene"	"protein_coding"	"PID1"	"GPL570"
"204193_at"	0.00065	1.87e-06	-5.35716013	4.897005	-0.274	"204193_at"	"CHKB"	"ENST00000452668|ENST00000492582|ENST00000464225|ENST00000471515|ENST00000484266|ENST00000481673|ENST00000479003|ENSG00000254413|ENST00000492556|ENSG00000100288"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|gene|lnc_RNA|gene"	"processed_transcript|retained_intron|processed_transcript|processed_transcript|retained_intron|retained_intron|retained_intron|protein_coding|retained_intron|protein_coding"	"CHKB-CPT1B-201|CHKB-212|CHKB-203|CHKB-206|CHKB-210|CHKB-209|CHKB-208|CHKB-CPT1B|CHKB-CPT1B-203|CHKB"	"GPL570"
