""	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Probes"	"Symbol"	"Ensembl_id"	"Biotype1"	"Biotype2"	"Synonyms"	"Platform"
"ILMN_1652722"	0.00063696	2.33e-07	-6.4384321	6.85367	-0.772	"ILMN_1652722"	"ATP5MPL"	"ENSG00000156411"	"gene"	"protein_coding"	"ATP5MPL"	"GPL6102"
"ILMN_1664172"	0.00063696	2.47e-07	6.4197247	6.80327	0.472	"ILMN_1664172"	"GNE"	"ENSG00000159921"	"gene"	"protein_coding"	"GNE"	"GPL6102"
"ILMN_1658269"	0.00063696	2.62e-07	6.4001282	6.75044	0.466	"ILMN_1658269"	"NUP93"	"ENST00000564278|ENST00000563465|ENSG00000102900"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|protein_coding"	"NUP93-209|NUP93-206|NUP93"	"GPL6102"
"ILMN_1807767"	0.0008114	3.5e-07	6.3022077	6.48598	0.535	"ILMN_1807767"	"GSE1"	"ENST00000469381|ENSG00000131149"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"GSE1-207|GSE1"	"GPL6102"
"ILMN_1708328"	0.00083896	3.79e-07	6.2753338	6.41327	0.416	"ILMN_1708328"	"RAB11FIP3"	"ENSG00000090565"	"gene"	"protein_coding"	"RAB11FIP3"	"GPL6102"
"ILMN_1809013"	0.00084415	3.99e-07	-6.2583188	6.3672	-0.766	"ILMN_1809013"	"MYL6"	"ENSG00000092841|ENST00000550184"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"MYL6|MYL6-216"	"GPL6102"
"ILMN_1743763"	0.0008544	4.33e-07	6.2303913	6.29154	0.434	"ILMN_1743763"	"TJAP1"	"ENSG00000137221|ENST00000483640"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"TJAP1|TJAP1-213"	"GPL6102"
"ILMN_1760320"	0.0008544	4.53e-07	6.2151772	6.2503	0.252	"ILMN_1760320"	"GNB1"	"ENSG00000078369"	"gene"	"protein_coding"	"GNB1"	"GPL6102"
"ILMN_1752046"	0.0008544	4.56e-07	6.2130744	6.2446	0.51	"ILMN_1752046"	"SH2B3"	"ENSG00000111252"	"gene"	"protein_coding"	"SH2B3"	"GPL6102"
"ILMN_1800420"	0.00089286	4.95e-07	6.1856228	6.17014	0.252	"ILMN_1800420"	"RNF214"	"ENST00000524917|ENST00000534709|ENSG00000167257"	"lnc_RNA|lnc_RNA|gene"	"processed_transcript|retained_intron|protein_coding"	"RNF214-202|RNF214-208|RNF214"	"GPL6102"
"ILMN_1797342"	0.00089375	5.14e-07	6.1730823	6.13611	0.455	"ILMN_1797342"	"FNBP1"	"ENSG00000187239"	"gene"	"protein_coding"	"FNBP1"	"GPL6102"
"ILMN_1764577"	0.00093806	5.59e-07	6.1450749	6.06007	0.385	"ILMN_1764577"	"MFNG"	"ENSG00000100060|ENST00000489515"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"MFNG|MFNG-210"	"GPL6102"
"ILMN_1696584"	0.00095398	5.88e-07	-6.1280613	6.01385	-1.45	"ILMN_1696584"	"ORM1"	"ENSG00000229314|ENST00000477456"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"ORM1|ORM1-202"	"GPL6102"
"ILMN_1756541"	0.00095729	6.48e-07	6.0952858	5.92476	0.557	"ILMN_1756541"	"MXD4"	"ENSG00000123933"	"gene"	"protein_coding"	"MXD4"	"GPL6102"
"ILMN_1733956"	0.00095729	6.57e-07	6.0905863	5.91198	0.4	"ILMN_1733956"	"IARS1"	"ENSG00000196305"	"gene"	"protein_coding"	"IARS1"	"GPL6102"
"ILMN_1760201"	0.00095729	6.81e-07	6.0786773	5.87959	0.853	"ILMN_1760201"	"DNMT1"	"ENST00000591798|ENST00000678107|ENST00000677038|ENST00000678851|ENST00000677135|ENST00000586667|ENST00000586588|ENST00000589351|ENST00000678957|ENST00000679100|ENST00000678694|ENST00000677783|ENST00000676868|ENST00000678024|ENST00000676604|ENST00000676820|ENST00000678647|ENSG00000130816"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|gene"	"processed_transcript|retained_intron|processed_transcript|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|processed_transcript|retained_intron|retained_intron|protein_coding"	"DNMT1-224|DNMT1-243|DNMT1-234|DNMT1-248|DNMT1-235|DNMT1-207|DNMT1-206|DNMT1-219|DNMT1-249|DNMT1-250|DNMT1-246|DNMT1-240|DNMT1-232|DNMT1-242|DNMT1-229|DNMT1-231|DNMT1-245|DNMT1"	"GPL6102"
"ILMN_1684349"	0.00095729	6.88e-07	6.075228	5.8702	1.1	"ILMN_1684349"	"IL2RB"	"ENSG00000100385"	"gene"	"protein_coding"	"IL2RB"	"GPL6102"
"ILMN_1751368"	0.00096613	7.14e-07	6.062708	5.83614	0.693	"ILMN_1751368"	"HNRNPD"	"ENST00000514325|ENST00000508119|ENSG00000138668"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|processed_transcript|protein_coding"	"HNRNPD-210|HNRNPD-206|HNRNPD"	"GPL6102"
"ILMN_1739274"	0.00099932	7.59e-07	6.0422168	5.78036	0.452	"ILMN_1739274"	"PDHB"	"ENSG00000168291|ENST00000479945|ENST00000461692"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron"	"PDHB|PDHB-207|PDHB-203"	"GPL6102"
"ILMN_1686871"	0.00107783	8.41e-07	6.0079611	5.68706	0.587	"ILMN_1686871"	"PARP1"	"ENSG00000143799|ENST00000677189|ENST00000677985|ENST00000678288|ENST00000678226|ENST00000676481|ENST00000677884|ENST00000676565|ENST00000678781|ENST00000676685|ENST00000679276|ENST00000498787|ENST00000676709"	"gene|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript|retained_intron|processed_transcript|processed_transcript|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron"	"PARP1|PARP1-215|PARP1-220|PARP1-223|PARP1-222|PARP1-210|PARP1-219|PARP1-211|PARP1-225|PARP1-212|PARP1-226|PARP1-209|PARP1-213"	"GPL6102"
"ILMN_1711227"	0.00115621	9.26e-07	5.9757734	5.59934	0.321	"ILMN_1711227"	"GMDS"	"ENST00000476972|ENST00000467288|ENST00000486793|ENST00000380805|ENSG00000112699"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|gene"	"processed_transcript|processed_transcript|processed_transcript|retained_intron|protein_coding"	"GMDS-204|GMDS-203|GMDS-205|GMDS-201|GMDS"	"GPL6102"
"ILMN_1715032"	0.00117335	9.74e-07	5.958943	5.55345	0.497	"ILMN_1715032"	"PHRF1"	"ENSG00000070047"	"gene"	"protein_coding"	"PHRF1"	"GPL6102"
"ILMN_1810228"	0.00117335	9.95e-07	5.951699	5.53369	0.383	"ILMN_1810228"	"TTF2"	"ENSG00000116830"	"gene"	"protein_coding"	"TTF2"	"GPL6102"
"ILMN_1803398"	0.00117335	1.03e-06	5.9403234	5.50266	0.521	"ILMN_1803398"	"SRF"	"ENSG00000112658"	"gene"	"protein_coding"	"SRF"	"GPL6102"
"ILMN_1751020"	0.00117335	1.04e-06	5.9374184	5.49473	0.394	"ILMN_1751020"	"PACSIN1"	"ENSG00000124507"	"gene"	"protein_coding"	"PACSIN1"	"GPL6102"
"ILMN_1713156"	0.00117335	1.08e-06	-5.9236045	5.45704	-0.612	"ILMN_1713156"	"MSL3"	"ENST00000478462|ENSG00000005302|ENST00000649988|ENST00000647701|ENST00000648889|ENST00000648918|ENST00000473380|ENST00000649308|ENST00000649684|ENST00000648207|ENST00000494268"	"lnc_RNA|gene|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA"	"retained_intron|protein_coding|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|retained_intron"	"MSL3-213|MSL3|MSL3-245|MSL3-218|MSL3-231|MSL3-232|MSL3-211|MSL3-236|MSL3-240|MSL3-225|MSL3-216"	"GPL6102"
"ILMN_1726683"	0.00117335	1.11e-06	5.9156273	5.43527	0.601	"ILMN_1726683"	"TMEM109"	"ENST00000540280|ENSG00000110108"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"TMEM109-203|TMEM109"	"GPL6102"
"ILMN_1712389"	0.00117335	1.11e-06	-5.916578	5.43786	-0.713	"ILMN_1712389"	"CKLF"	"ENSG00000217555|ENST00000526149|ENSG00000254788"	"gene|lnc_RNA|gene"	"protein_coding|retained_intron|protein_coding"	"CKLF|CKLF-206|CKLF-CMTM1"	"GPL6102"
"ILMN_1672728"	0.00121061	1.17e-06	5.8979817	5.3871	0.445	"ILMN_1672728"	"KCTD5"	"ENSG00000167977"	"gene"	"protein_coding"	"KCTD5"	"GPL6102"
"ILMN_1679929"	0.0013274	1.31e-06	5.8601584	5.2838	0.471	"ILMN_1679929"	"KLF13"	"ENST00000558673|ENSG00000169926|ENST00000558921"	"lnc_RNA|gene|lnc_RNA"	"processed_transcript|protein_coding|processed_transcript"	"KLF13-204|KLF13|KLF13-206"	"GPL6102"
"ILMN_1718428"	0.00143373	1.44e-06	-5.8275172	5.1946	-1.04	"ILMN_1718428"	"NDUFB3"	"ENSG00000119013"	"gene"	"protein_coding"	"NDUFB3"	"GPL6102"
"ILMN_1761996"	0.00147715	1.52e-06	5.8107987	5.1489	0.576	"ILMN_1761996"	"SRSF5"	"ENST00000554465|ENST00000556184|ENST00000556587|ENST00000556647|ENST00000554929|ENSG00000100650"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|processed_transcript|processed_transcript|retained_intron|protein_coding"	"SRSF5-207|SRSF5-212|SRSF5-215|SRSF5-216|SRSF5-208|SRSF5"	"GPL6102"
"ILMN_1792473"	0.00156085	1.68e-06	-5.7756998	5.05291	-0.57	"ILMN_1792473"	"AIF1"	"ENSG00000204472|ENST00000466820"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"AIF1|AIF1-204"	"GPL6102"
"ILMN_1706824"	0.0015679	1.77e-06	5.7596991	5.00914	0.399	"ILMN_1706824"	"DNAAF5"	"ENSG00000164818"	"gene"	"protein_coding"	"DNAAF5"	"GPL6102"
"ILMN_1761804"	0.0015679	1.77e-06	5.7590476	5.00736	0.327	"ILMN_1761804"	"ALDH9A1"	"ENSG00000143149"	"gene"	"protein_coding"	"ALDH9A1"	"GPL6102"
"ILMN_1657188"	0.00159802	1.84e-06	5.7466755	4.9735	0.391	"ILMN_1657188"	"FOXJ3"	"ENSG00000198815"	"gene"	"protein_coding"	"FOXJ3"	"GPL6102"
"ILMN_1673023"	0.00164345	1.92e-06	5.7314047	4.93171	0.331	"ILMN_1673023"	"EP400"	"ENSG00000183495"	"gene"	"protein_coding"	"EP400"	"GPL6102"
"ILMN_1693227"	0.00168942	2.04e-06	5.7120411	4.87871	0.417	"ILMN_1693227"	"ZC3H7A"	"ENST00000570918|ENSG00000122299"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"ZC3H7A-204|ZC3H7A"	"GPL6102"
"ILMN_1711270"	0.00168942	2.05e-06	5.710679	4.87498	0.495	"ILMN_1711270"	"SUGP2"	"ENST00000597095|ENST00000597163|ENSG00000064607"	"lnc_RNA|lnc_RNA|gene"	"processed_transcript|processed_transcript|protein_coding"	"SUGP2-207|SUGP2-208|SUGP2"	"GPL6102"
"ILMN_1797336"	0.00184527	2.27e-06	-5.6756108	4.77896	-0.248	"ILMN_1797336"	"ACOT13"	"ENSG00000112304|ENST00000476436"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"ACOT13|ACOT13-202"	"GPL6102"
"ILMN_1699772"	0.00202629	2.57e-06	-5.6349178	4.66749	-0.574	"ILMN_1699772"	"RRAGD"	"ENSG00000025039"	"gene"	"protein_coding"	"RRAGD"	"GPL6102"
"ILMN_1653200"	0.00202629	2.58e-06	-5.6334317	4.66342	-0.428	"ILMN_1653200"	"SLC22A17"	"ENSG00000092096|ENST00000206544|ENST00000473917"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron"	"SLC22A17|SLC22A17-201|SLC22A17-205"	"GPL6102"
"ILMN_1799153"	0.0022692	2.94e-06	5.5903057	4.54525	0.387	"ILMN_1799153"	"STK38"	"ENSG00000112079"	"gene"	"protein_coding"	"STK38"	"GPL6102"
"ILMN_1720124"	0.00228175	3e-06	5.5825827	4.52408	0.579	"ILMN_1720124"	"RCC2"	"ENSG00000179051"	"gene"	"protein_coding"	"RCC2"	"GPL6102"
"ILMN_1690844"	0.00228175	3.05e-06	5.5780363	4.51162	0.463	"ILMN_1690844"	"DNAJB6"	"ENSG00000105993|ENST00000465908|ENST00000487480"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|retained_intron"	"DNAJB6|DNAJB6-212|DNAJB6-216"	"GPL6102"
"ILMN_1666049"	0.00231562	3.14e-06	-5.5680235	4.48417	-0.667	"ILMN_1666049"	"NUP214"	"ENSG00000126883"	"gene"	"protein_coding"	"NUP214"	"GPL6102"
"ILMN_1743806"	0.00237773	3.27e-06	5.5541726	4.4462	0.286	"ILMN_1743806"	"MIF4GD"	"ENSG00000125457|ENST00000678201"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"MIF4GD|MIF4GD-216"	"GPL6102"
"ILMN_1786048"	0.00241576	3.37e-06	5.5439344	4.41814	0.534	"ILMN_1786048"	"HNRNPR"	"ENST00000476660|ENSG00000125944"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"HNRNPR-209|HNRNPR"	"GPL6102"
"ILMN_1736015"	0.00249234	3.53e-06	5.5286484	4.37623	0.262	"ILMN_1736015"	"JADE1"	"ENSG00000077684"	"gene"	"protein_coding"	"JADE1"	"GPL6102"
"ILMN_1721978"	0.00249455	3.67e-06	5.5159651	4.34145	0.633	"ILMN_1721978"	"CARD11"	"ENSG00000198286"	"gene"	"protein_coding"	"CARD11"	"GPL6102"
"ILMN_1720287"	0.00249455	3.68e-06	5.5148411	4.33837	0.293	"ILMN_1720287"	"E4F1"	"ENST00000569796|ENSG00000167967"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"E4F1-209|E4F1"	"GPL6102"
"ILMN_1718537"	0.00249455	3.69e-06	5.5141514	4.33648	0.465	"ILMN_1718537"	"HPS6"	"ENSG00000166189"	"gene"	"protein_coding"	"HPS6"	"GPL6102"
"ILMN_1667043"	0.00258326	3.87e-06	5.4978875	4.29188	0.347	"ILMN_1667043"	"EIF4A3"	"ENSG00000141543|ENST00000575978|ENST00000570625|ENST00000576573"	"gene|lnc_RNA|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron|retained_intron"	"EIF4A3|EIF4A3-205|EIF4A3-201|EIF4A3-207"	"GPL6102"
"ILMN_1660368"	0.00258622	3.93e-06	5.4929663	4.27839	0.424	"ILMN_1660368"	"TRRAP"	"ENSG00000196367"	"gene"	"protein_coding"	"TRRAP"	"GPL6102"
"ILMN_1716465"	0.00263211	4.11e-06	-5.4781968	4.23789	-0.724	"ILMN_1716465"	"RBP7"	"ENSG00000162444"	"gene"	"protein_coding"	"RBP7"	"GPL6102"
"ILMN_1710697"	0.0026612	4.21e-06	-5.4701677	4.21587	-0.297	"ILMN_1710697"	"BUD31"	"ENST00000496696|ENSG00000106245|ENST00000431419|ENST00000466798"	"lnc_RNA|gene|lnc_RNA|lnc_RNA"	"retained_intron|protein_coding|processed_transcript|retained_intron"	"BUD31-209|BUD31|BUD31-204|BUD31-206"	"GPL6102"
"ILMN_1688580"	0.00283067	4.62e-06	-5.4390872	4.13063	-1.31	"ILMN_1688580"	"CAMP"	"ENSG00000164047"	"gene"	"protein_coding"	"CAMP"	"GPL6102"
"ILMN_1692770"	0.00283067	4.7e-06	5.4333585	4.11492	0.55	"ILMN_1692770"	"LARP1"	"ENSG00000155506"	"gene"	"protein_coding"	"LARP1"	"GPL6102"
"ILMN_1670302"	0.00283067	4.82e-06	-5.4245242	4.09069	-0.511	"ILMN_1670302"	"HK3"	"ENSG00000160883|ENST00000506834"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"HK3|HK3-203"	"GPL6102"
"ILMN_1777118"	0.00283067	4.82e-06	5.4251265	4.09235	0.326	"ILMN_1777118"	"INTS9"	"ENSG00000104299"	"gene"	"protein_coding"	"INTS9"	"GPL6102"
"ILMN_1813236"	0.00283067	4.82e-06	5.4251419	4.09239	0.264	"ILMN_1813236"	"C6orf136"	"ENSG00000204564|ENST00000460172"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"C6orf136|C6orf136-205"	"GPL6102"
"ILMN_1697670"	0.00301773	5.21e-06	5.3991692	4.02116	0.353	"ILMN_1697670"	"SRRM1"	"ENSG00000133226"	"gene"	"protein_coding"	"SRRM1"	"GPL6102"
"ILMN_1875342"	0.00331677	5.86e-06	5.3597755	3.91311	0.35	"ILMN_1875342"	"LNPEP"	"ENSG00000113441"	"gene"	"protein_coding"	"LNPEP"	"GPL6102"
"ILMN_1778177"	0.00335888	6.04e-06	5.3495842	3.88516	0.37	"ILMN_1778177"	"ZNF207"	"ENSG00000010244|ENST00000579810"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"ZNF207|ZNF207-211"	"GPL6102"
"ILMN_1784785"	0.00335888	6.07e-06	5.3478892	3.88052	0.377	"ILMN_1784785"	"COPS7B"	"ENSG00000144524|ENST00000461350|ENST00000488111"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron"	"COPS7B|COPS7B-217|COPS7B-221"	"GPL6102"
"ILMN_1761069"	0.00371115	6.79e-06	5.3102012	3.77716	0.211	"ILMN_1761069"	"UVRAG"	"ENSG00000198382"	"gene"	"protein_coding"	"UVRAG"	"GPL6102"
"ILMN_1753890"	0.00371115	6.86e-06	-5.3070863	3.76862	-0.49	"ILMN_1753890"	"IFT20"	"ENSG00000109083|ENST00000583796"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"IFT20|IFT20-213"	"GPL6102"
"ILMN_1856315"	0.00384635	7.19e-06	5.2914467	3.72574	0.281	"ILMN_1856315"	"SCMH1"	"ENSG00000010803"	"gene"	"protein_coding"	"SCMH1"	"GPL6102"
"ILMN_1753353"	0.00388097	7.33e-06	5.2848036	3.70752	0.326	"ILMN_1753353"	"SLBP"	"ENSG00000163950"	"gene"	"protein_coding"	"SLBP"	"GPL6102"
"ILMN_1779404"	0.00390517	7.46e-06	5.2791174	3.69193	0.463	"ILMN_1779404"	"PUF60"	"ENSG00000179950"	"gene"	"protein_coding"	"PUF60"	"GPL6102"
"ILMN_1812976"	0.00394706	7.67e-06	5.2696439	3.66595	0.204	"ILMN_1812976"	"DDX54"	"ENSG00000123064"	"gene"	"protein_coding"	"DDX54"	"GPL6102"
"ILMN_1779014"	0.00394706	7.74e-06	5.2668552	3.65831	0.377	"ILMN_1779014"	"TSPYL1"	"ENSG00000189241"	"gene"	"protein_coding"	"TSPYL1"	"GPL6102"
"ILMN_1664723"	0.00394706	7.95e-06	5.2578276	3.63356	0.389	"ILMN_1664723"	"SLC52A2"	"ENST00000675998|ENSG00000185803"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"SLC52A2-225|SLC52A2"	"GPL6102"
"ILMN_1731107"	0.00394706	7.97e-06	5.2569996	3.63129	0.45	"ILMN_1731107"	"CCDC92"	"ENSG00000119242|ENST00000542348|ENST00000544798"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"CCDC92|CCDC92-205|CCDC92-206"	"GPL6102"
"ILMN_1880342"	0.00394706	8.12e-06	5.2504902	3.61344	0.317	"ILMN_1880342"	"TRAV21"	"ENSG00000211801"	"gene"	"TR_V_gene"	"TRAV21"	"GPL6102"
"ILMN_1775522"	0.00394706	8.21e-06	5.2469399	3.60371	0.572	"ILMN_1775522"	"MAGED1"	"ENST00000494718|ENST00000485420|ENST00000473931|ENSG00000179222"	"lnc_RNA|lnc_RNA|lnc_RNA|gene"	"processed_transcript|processed_transcript|processed_transcript|protein_coding"	"MAGED1-210|MAGED1-209|MAGED1-206|MAGED1"	"GPL6102"
"ILMN_1736548"	0.00394706	8.39e-06	5.2395614	3.58348	0.481	"ILMN_1736548"	"PHACTR4"	"ENST00000632964|ENSG00000204138"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"PHACTR4-207|PHACTR4"	"GPL6102"
"ILMN_1666385"	0.00394706	8.46e-06	5.2370189	3.57651	0.448	"ILMN_1666385"	"CALM3"	"ENSG00000160014|ENST00000486500"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"CALM3|CALM3-205"	"GPL6102"
"ILMN_1746481"	0.00394706	8.51e-06	-5.2350112	3.57101	-0.661	"ILMN_1746481"	"USP32"	"ENSG00000170832"	"gene"	"protein_coding"	"USP32"	"GPL6102"
"ILMN_1839750"	0.00404916	8.81e-06	-5.223311	3.53894	-0.348	"ILMN_1839750"	"ILRUN"	"ENSG00000272288|ENST00000606971|ENST00000667026|ENST00000606496"	"ncRNA_gene|lnc_RNA|lnc_RNA|lnc_RNA"	"lncRNA|lncRNA|lncRNA|lncRNA"	"ILRUN-AS1|ILRUN-AS1-202|ILRUN-AS1-203|ILRUN-AS1-201"	"GPL6102"
"ILMN_1677043"	0.00407234	8.98e-06	5.2171885	3.52216	0.337	"ILMN_1677043"	"AKR7A2"	"ENSG00000053371"	"gene"	"protein_coding"	"AKR7A2"	"GPL6102"
"ILMN_1731785"	0.00407234	9.03e-06	-5.2151571	3.51659	-0.567	"ILMN_1731785"	"ORM2"	"ENSG00000228278"	"gene"	"protein_coding"	"ORM2"	"GPL6102"
"ILMN_1710873"	0.00410585	9.25e-06	5.2070409	3.49435	0.527	"ILMN_1710873"	"ZNF330"	"ENSG00000109445"	"gene"	"protein_coding"	"ZNF330"	"GPL6102"
"ILMN_1712517"	0.00410585	9.34e-06	5.2040458	3.48614	0.319	"ILMN_1712517"	"ZNF696"	"ENSG00000185730"	"gene"	"protein_coding"	"ZNF696"	"GPL6102"
"ILMN_1676899"	0.00410585	9.36e-06	5.2032617	3.48399	0.226	"ILMN_1676899"	"YEATS2"	"ENST00000472593|ENSG00000163872"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"YEATS2-204|YEATS2"	"GPL6102"
"ILMN_1724533"	0.00413671	9.59e-06	-5.1950416	3.46146	-1.37	"ILMN_1724533"	"LY96"	"ENSG00000154589"	"gene"	"protein_coding"	"LY96"	"GPL6102"
"ILMN_1729980"	0.00413671	9.6e-06	5.1947906	3.46078	0.414	"ILMN_1729980"	"RNF216"	"ENSG00000011275"	"gene"	"protein_coding"	"RNF216"	"GPL6102"
"ILMN_1772369"	0.00416335	9.75e-06	5.1896998	3.44683	0.33	"ILMN_1772369"	"PDHA1"	"ENST00000478795|ENSG00000131828"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"PDHA1-208|PDHA1"	"GPL6102"
"ILMN_1722276"	0.0041832	9.88e-06	5.1850105	3.43398	0.336	"ILMN_1722276"	"PAFAH1B1"	"ENST00000571495|ENST00000675574|ENST00000610190|ENSG00000007168"	"lnc_RNA|lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|retained_intron|protein_coding"	"PAFAH1B1-205|PAFAH1B1-222|PAFAH1B1-213|PAFAH1B1"	"GPL6102"
"ILMN_1756928"	0.0041832	1e-05	5.1794264	3.41868	0.542	"ILMN_1756928"	"RTN1"	"ENST00000481205|ENST00000474911|ENST00000432103|ENSG00000139970"	"lnc_RNA|lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|retained_intron|protein_coding"	"RTN1-206|RTN1-205|RTN1-204|RTN1"	"GPL6102"
"ILMN_1761464"	0.00420583	1.02e-05	5.1747771	3.40594	0.651	"ILMN_1761464"	"CD74"	"ENSG00000019582|ENST00000523836|ENST00000523813|ENST00000524315"	"gene|lnc_RNA|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron|retained_intron"	"CD74|CD74-211|CD74-210|CD74-212"	"GPL6102"
